district number,county,fy_min,fy_max,name,names,pop
3806012602600,060,1997,2014,havana cusd 126,"havana community uni,havana comm unit school dist 126,havana cusd 126",967.47
3806018902600,060,1997,2014,illini central cusd 189,"illini central commu,illini central c u sch dist 189,illini central cusd 189",645.12
3806019102600,060,1997,2014,midwest central cusd 191,"midwest central comm,midwest central,midwest central cusd 191",895.08
3806520002600,065,1997,2014,greenview cusd 200,"greenview cusd #200,greenview c u sch dist 200,greenview cusd 200",260.23
3806520202600,065,1997,2014,porta cusd 202,"porta community unit,porta comm unit school dist 202,porta cusd 202",1025.33
3806521302600,065,1997,2014,athens cusd 213,"athens community uni,athens cusd #213,athens comm unit sch dist 213,athens cusd 213",985.63
3905500102600,055,1997,2019,argenta-oreana cusd 1,"argenta-oreana commu,argenta-oreana comm unit sch d 1,argenta-oreana cusd 1",842.06
3905500202600,055,1997,2019,maroa forsyth cusd 2,"maroa-forsyth cusd,maroa forsyth cusd 2,maroa-forsyth c.u.s.,maroa forsyth c u sch dist 2",1082.85
3905500302600,055,1997,2019,mt zion cusd 3,"mt zion cu sch,mt. zion community u,mt zion comm unit sch dist 3,mt zion cusd 3",2294.03
3905500602600,055,1997,2003,niantic-harristown c u s d 6,"niantic harristown,niantic harristown c,niantic-harristown c u s d 6",470.98
3905500902600,055,2005,2019,sangamon valley cusd 9,sangamon valley cusd 9,632.94
3905501102600,055,1997,2019,warrensburg-latham cusd 11,"warrensburg-latham c,warrensburg-latham,warrensburg-latham c u dist 11,warrensburg-latham cusd 11",912.41
3905501502600,055,1997,2019,meridian cusd 15,"meridian community u,meridian,meridian comm unit sch dist 15,meridian cusd 15",908.46
3905506102500,055,1997,2019,decatur sd 61,"decatur #61,decatur public schoo,decatur school district 61,decatur sd 61",7270.6
3907400502600,074,1997,2019,bement cusd 5,"bement  c.u.s.d.,bement c.u.s.d.,bement comm unit school dist 5,bement cusd 5",293.91
3907402502600,074,1997,2019,monticello cusd 25,"monticello community,monticello,monticello c u school dist 25,monticello cusd 25",1521.57
3907403902600,074,1997,2014,atwood hammond cusd 39,"atwood-hammond commu,atwood hammond c u sch dist 39,atwood hammond cusd 39",368.02
3907405702600,074,1997,2019,deland-weldon cusd 57,"deland weldon cu sch,deland-weldon commun,deland-weldon c u sch dist 57,deland-weldon cusd 57",193.01
3907410002600,074,1997,2019,cerro gordo cusd 100,"cerro gordo c.u.s.d.,cerro gordo communit,cerro gordo c u school dist 100,cerro gordo cusd 100",455.71
4000704002600,007,1997,2019,calhoun cusd 40,"calhoun community un,calhoun comm unit sch dist 40,calhoun cusd 40",449.31
4000704202600,007,1997,2019,brussels cusd 42,"brussels community u,brussel community un,brussels comm unit school dist 42,brussels cusd 42",114.04
4003100102600,031,1997,2019,carrollton cusd 1,"carrollton community,carrollton c u school dist 1,carrollton cusd 1",493.69
4003100302600,031,1997,2019,north greene cusd 3,"north greene unit sc,north greene unit school dist 3,north greene unit dist 3,north greene usd 3,north greene cusd 3",778.67
4003101002600,031,1997,2019,greenfield cusd 10,"greenfield community,greenfield c u school dist 10,greenfield cusd 10",388.15
4004210002600,042,1997,2019,jersey cusd 100,"community unit schoo,jersey c u sch dist 100,jersey cusd 100",2378.71
4005600102600,056,1997,2019,carlinville cusd 1,"carlinville communit,carlinville c.u.s.d.,carlinville c u school dist 1,carlinville cusd 1",1340.06
4005600202600,056,1997,2019,northwestern cusd 2,"northwestern communi,northwestern c.u.s.d,northwestern c u sch dist 2,northwestern cusd 2",316.57
4005600302600,056,1997,2010,girard cusd 3,"girard cusd #3,girard community uni,girard cusd # 3,girard comm unit school dist 3,girard cusd 3",544.69
4005600402600,056,1997,2010,virden cusd 4,"virden community uni,virden comm unit school dist 4,virden cusd 4",812.33
4005600502600,056,1997,2019,mount olive cusd 5,"mt. olive community,mount olive c u school dist 5,mount olive cusd 5",405.09
4005600602600,056,1997,2019,staunton cusd 6,"staunton community u,staunton comm unit sch dist 6,staunton cusd 6",1182.85
4005600702600,056,1997,2019,gillespie cusd 7,"community unit schoo,gillespie comm unit sch dist 7,gillespie cusd 7",1162.5
4005600802600,056,1997,2019,bunker hill cusd 8,"bunker hill communit,bunker hill c.u.s.d.,bunker hill c u school dist 8,bunker hill cusd 8",540.51
4005600902600,056,1997,2019,southwestern cusd 9,"southwestern communi,southwestern c.u.s.d,southwestern c u sch dist 9,southwestern cusd 9",1326.56
4005603402600,056,2011,2019,north mac cusd 34,north mac cusd 34,1134.13
4105700102600,057,1997,2019,roxana cusd 1,"roxana community uni,roxana comm unit school dist 1,roxana cusd 1",1656.67
4105700202600,057,1997,2019,triad cusd 2,"triad community unit,triad comm unit school dist 2,triad cusd 2",3436.46
4105700302600,057,1997,2019,venice cusd 3,"venice community sch,venice community uni,venice comm unit school dist 3,venice cusd 3",76.17
4105700402400,057,1997,2003,livingston c c school dist 4,"livingston community,livingston c c school dist 4",206.73
4105700502600,057,1997,2019,highland cusd 5,"highland community u,highland comm unit sch dist 5,highland cusd 5",2669.7
4105700702600,057,1997,2019,edwardsville cusd 7,"edwardsville communi,edwardsville c u school dist 7,edwardsville cusd 7",7059.52
4105700802600,057,1997,2019,bethalto cusd 8,"bethalto community u,bethalto c u school dist 8,bethalto cusd 8",2262.12
4105700902600,057,1997,2019,granite city cusd 9,"granite city communi,granite city c u school dist 9,granite city cusd 9",5453.85
4105701002600,057,1997,2019,collinsville cusd 10,"collinsville cu sch,collinsville c u s d,collinsville cusd 10,collinsville communi,collinsville c u sch dist 10",5614.69
4105701102600,057,1997,2019,alton cusd 11,"alton community unit,alton comm unit school dist 11,alton cusd 11",5649.58
4105701202600,057,1997,2019,madison cusd 12,"madison community un,madison comm unit sch dist 12,madison cusd 12",470.48
4105701300200,057,1997,2019,east alton sd 13,"east alton elementar,east alton school district 13,east alton sd 13",692.02
4105701401600,057,1997,2019,east alton-wood river chsd 14,"east alton - wood ri,east alton- wood riv,east alton wood rive,east alton-wood river c h s d 14,east alton-wood river chsd 14",533.39
4105701500300,057,1997,2019,wood river-hartford esd 15,"wood river hartford,wood river-hartford,wood river-hartford elem s d 15,wood river-hartford esd 15",616.39
4305900502600,059,1997,2014,henry-senachwine cusd 5,"henry senachwine com,henry-senachwine com,henry-senachwine cusd 5",543.11
4305900702600,059,1997,2014,midland cusd 7,"midland community un,midland community unit dist 7,midland cusd 7",658.16
4307853502600,078,1997,2014,putnam county cusd 535,"putnam county commun,putnam co c u school dist 535,putnam county cusd 535",822.14
4310200100400,102,1997,2014,metamora ccsd 1,"metamora community c,metamora c c sch dist 1,metamora ccsd 1",807.14
4310200200400,102,1997,2014,riverview ccsd 2,"riverview community,riverview c c school district 2,riverview ccsd 2",213.23
4310200602600,102,1997,2014,fieldcrest cusd 6,"fieldcrest community,fieldcrest  communit,fieldcrest cusd #6,fieldcrest cusd 6",1040.73
4310201102600,102,2005,2014,el paso-gridley cusd 11,el paso-gridley cusd 11,1130.22
4310202102600,102,1997,2014,lowpoint-washburn cusd 21,"lowpoint-washburn co,lowpoint-washburn cu,lowpoint-washburn c u s dist 21,lowpoint-washburn cusd 21",351.43
4310206002600,102,1997,2014,roanoke benson cusd 60,"roanoke-benson commu,roanoke benson cusd,roanoke-benson  comm,roanoke benson c u s dist 60,roanoke benson cusd 60",502.08
4310206900200,102,1997,2014,germantown hills sd 69,"germantown hills sch,germantown hills school dist 69,germantown hills sd 69",823.36
4310212201700,102,1997,2014,county of woodford school,"metamora township hi,metamora twp h s dist 122,metamora twp hsd 122,county of woodford school",893.84
4310214002600,102,1997,2014,eureka cud 140,"community unit schoo,eureka  cusd 140,eureka c u dist 140,eureka cud 140",1533.83
4310237502600,102,1997,2003,el paso c u district 375,"elpaso,elpaso community uni,elpaso      communit,el paso c u district 375",821.03
4406300200300,063,2001,2019,nippersink sd 2,"nippersink school district 2,nippersink school dist 2,nippersink sd 2",1047.08
4406300300300,063,1997,2019,fox river grove cons sd 3,"fox river grove,fox river grove cons s d 3,fox river grove cons sd 3",375.47
